name,lic_no,details_url,lic_type,lic_status,lic_exp_date,lic_sec_status,city,state,county,zipcode,depth,download_timeout,download_slot,download_latency,address,lic_issue_date
1ST CHOICE AUTO REPAIR,266951,/details/1310/ARD/266951/28bb0afedf806c9e9e65e414341a35fb,Automotive Repair Dealer,Valid,"October 31, 2020",N/A,OAKLAND,California,ALAMEDA,94564,1,180.0,search.dca.ca.gov,0.5275955200195312,4101 MARTIN LUTHER KING JR WAY,
1 AUTO REPAIR,274523,/details/1310/ARD/274523/83f000c19b2596de518cd13d56f0a7aa,Automotive Repair Dealer,Valid,"October 31, 2020",N/A,OAKLAND,California,ALAMEDA,94601,1,180.0,search.dca.ca.gov,0.7515475749969482,3509 FOOTHILL BLVD,
101 AUTO BODY,276251,/details/1310/ARD/276251/1c215f519eda470a398188edda9ee1d3,Automotive Repair Dealer,Valid,"April 30, 2021",N/A,OAKLAND,California,ALAMEDA,94609,1,180.0,search.dca.ca.gov,0.37480688095092773,5512 MARTIN LUTHER KING JR,
1ST QUALITY AUTO BODY & REPAIR,286641,/details/1310/RC/286641/442bfa045c3f5d8ec76d6bb9d83ecdac,Smog Station - Test & Repair,Valid,"April 30, 2021",N/A,OAKLAND,California,ALAMEDA,94621,1,180.0,search.dca.ca.gov,1.0413744449615479,6528 INTERNATIONAL BLVD,
1ST QUALITY AUTO BODY & REPAIR,286641,/details/1310/BS/286641/485796bd862d2e188ee6d7701671ccf6,Brake Station,Valid,"April 30, 2021",N/A,OAKLAND,California,ALAMEDA,94621,1,180.0,search.dca.ca.gov,1.4927287101745605,6528 INTERNATIONAL BLVD,
12 SMOG TEST ONLY,280456,/details/1310/ARD/280456/2d3b7b82b2e239611308db77ff3faad4,Automotive Repair Dealer,Valid,"June 30, 2021",N/A,OAKLAND,California,ALAMEDA,94601,1,180.0,search.dca.ca.gov,1.5918452739715576,4502 E 12TH ST,
1ST QUALITY AUTO BODY & REPAIR,286641,/details/1310/ARD/286641/c0039f09acfe5f34acd2aa8051183d36,Automotive Repair Dealer,Valid,"April 30, 2021",N/A,OAKLAND,California,ALAMEDA,94621,1,180.0,search.dca.ca.gov,1.6549041271209717,6528 INTERNATIONAL BLVD,
4 WHEEL PARTS,261285,/details/1310/ARD/261285/da904b06b77bebe2002faa2e5f609c0b,Automotive Repair Dealer,Valid,"February 28, 2021",N/A,OAKLAND,California,ALAMEDA,94621,1,180.0,search.dca.ca.gov,0.20990633964538574,38 HEGENBERGER COURT,
1 AUTO REPAIR,274523,/details/1310/RC/274523/7f7de1e3f211d0e126c9bce27c097037,Smog Station - Test & Repair,Valid,"October 31, 2020",N/A,OAKLAND,California,ALAMEDA,94601,1,180.0,search.dca.ca.gov,0.815863847732544,3509 FOOTHILL BLVD,
1ST QUALITY AUTO BODY & REPAIR,286641,/details/1310/LS/286641/f8042fd1aef4ce55872b32ee801853f2,Lamp Station,Valid,"April 30, 2021",N/A,OAKLAND,California,ALAMEDA,94621,1,180.0,search.dca.ca.gov,1.8470776081085205,6528 INTERNATIONAL BLVD,
1 FRUITVALE TEST ONLY,273929,/details/1310/ARD/273929/3a4036a1b292017c255256947625a784,Automotive Repair Dealer,Cancelled,"August 31, 2015",N/A,OAKLAND,California,ALAMEDA,94601,1,180.0,search.dca.ca.gov,1.7111952304840088,3526 SAN LEANDRO STREET,
