status,operator_phone,location_addr,operator_st,id_num,county,location_phone,owner_zip,mailing_st,operator_zip,location_st,location_city,update_date,operator_city,operator_addr,owner_phone,owner_st,fac_name,owner_name,owner_city,operator_name,mailing_zip,owner_addr,inactive_date,mailing_addr,mailing_phone,naics,location_zip,mailing_city,record_date,mailing_name
ACTIVE,5032474060,8099 S COLISEUM WAY,OR,CA0000133199,ALAMEDA                                 ,,972110000,OR,972110000,CA,OAKLAND,8/29/2019 2:03:48 PM,PORTLAND,750 NE COLUMBIA BLVE,5032857667,OR,TEC OF CALIFORNIA INC,TEC EQUIPMENT,PORTLAND,EDWARD MATVEYEV,97211,750 NE COLUMBIA BLVD,,750 NE COLUMBIA BLVD.,,44111,946211937,PORTLAND,12/8/1995 12:00:00 AM,
INACTIVE,4156323173,8275 SAN LEANDRO ST,99,CAC000072477,ALAMEDA                                 ,,--,CA,--,CA,OAKLAND,10/25/2000 12:00:00 AM,--,--,0000000000,99,1X MONTEREY MECHANICAL CO,--,--,CARL JOHNSON                  ,946210000,--,10/25/2000 12:00:00 AM,8275 SAN LEANDRO ST                ,,N/A,946210000,OAKLAND             ,3/18/1988 12:00:00 AM,
INACTIVE,4155712200,7307 EDGEWATER DR,99,CAC000086757,ALAMEDA                                 ,,--,CA,--,CA,OAKLAND,10/25/2000 12:00:00 AM,--,--,0000000000,99,1X LINCOLN PROPERTY CO,UNDERGROUND TANK              ,--,"LIS HOOTON, PROJ MGR          ",944040000,--,10/25/2000 12:00:00 AM,101 LINCOLN CENTRE DR              ,,N/A,946210000,FOSTER CITY         ,6/3/1988 12:00:00 AM,
INACTIVE,4155696530,940 89TH AVE,99,CAC000108725,ALAMEDA                                 ,,--,CA,--,CA,OAKLAND,10/25/2000 12:00:00 AM,--,--,0000000000,99,1X CHARLES PEACH,--,--,CHARLES K PEACH               ,946210000,--,10/25/2000 12:00:00 AM,--,,N/A,946210000,OAKLAND             ,8/19/1988 12:00:00 AM,
INACTIVE,2134863156,566 HEGENBERGER ROAD,99,CAC000094285,ALAMEDA                                 ,,--,CA,--,CA,OAKLAND,10/25/2000 12:00:00 AM,--,--,0000000000,99,"1X ARCO PRODUCTS CO., STATION #4494",UNDERGROUND TANK REMOVAL      ,--,CYNTHIA KEPHART               ,900710000,--,10/25/2000 12:00:00 AM,515 SOUTH FLOWER STREET            ,,N/A,946210000,LOS ANGELES         ,6/16/1988 12:00:00 AM,
INACTIVE,4155774048,AIRPORT FACILITIES,99,CAC000084693,ALAMEDA                                 ,,--,CA,--,CA,OAKLAND,10/25/2000 12:00:00 AM,--,--,0000000000,99,1X PORT OF OAKLAND-AIRPORT FACILITIES,--,--,CONRADO PERDIGUERA            ,946210000,--,10/25/2000 12:00:00 AM,P O BOX 45                         ,,N/A,946210000,OAKLAND             ,5/17/1988 12:00:00 AM,
INACTIVE,4156320104,LANEY COLLEGE,99,CAC000110829,ALAMEDA                                 ,,--,CA,--,CA,OAKLAND,10/25/2000 12:00:00 AM,--,--,0000000000,99,1X ENVIRONMENTAL INNOVATION,PERALTA COM COLLEGE DIST      ,--,HOOMAN SOTOODEH               ,946210000,--,10/25/2000 12:00:00 AM,--,,N/A,946210000,OAKLAND             ,8/25/1988 12:00:00 AM,
INACTIVE,2096881980,3404 ORIN WAY,99,CAC000083701,KERN                                    ,,--,CA,--,CA,BAKERSFIELD,10/25/2000 12:00:00 AM,--,--,0000000000,99,1X U.P.S.,--,--,ANNETTE FAGUNDES              ,946210000,--,10/25/2000 12:00:00 AM,8400 PARTY DRIVE                   ,,N/A,946210000,OAKLAND             ,5/10/1988 12:00:00 AM,
INACTIVE,4156320104,MERRITT COLLEGE,99,CAC000110837,ALAMEDA                                 ,,--,CA,--,CA,OAKLAND,10/25/2000 12:00:00 AM,--,--,0000000000,99,1X ENVIROMENTAL INNOVATION,PERALTA COMMUNITY COLLEGE DIST,--,HOOMAN SOTOODEH               ,946210000,--,10/25/2000 12:00:00 AM,--,,N/A,946210000,OAKLAND             ,8/25/1988 12:00:00 AM,
INACTIVE,4155777495,550 85TH AVE,99,CAC000056645,ALAMEDA                                 ,,--,CA,--,CA,OAKLAND,10/25/2000 12:00:00 AM,--,--,0000000000,99,1X IMO DELAVAL,--,--,BOB CASEY                     ,946210000,--,10/25/2000 12:00:00 AM,550 85TH AVE                       ,,N/A,946210000,OAKLAND             ,1/4/1988 12:00:00 AM,
