APN,APN_SORT,YearBuilt,SitusStreetNumber,SitusStreetName,SitusUnit,SitusCity,SitusZip,SitusAddress,MailingAddress,line_1,line_2,city,state,postal
19-98-5-6,019 009800506,0,2434,E 11TH ST,,OAKLAND,94601,2434 E 11TH ST OAKLAND 94601,PO BOX 7509 OAKLAND CA 94601,2434 E 11TH ST,,OAKLAND,CA,94601
19-98-6,019 009800600,0,1134,MILLER AVE,,OAKLAND,94601,1134 MILLER AVE OAKLAND 94601,PO BOX 7509 OAKLAND CA 94601,1134 MILLER AVE,,OAKLAND,CA,94601
19-98-5-5,019 009800505,1900,2424,E 11TH ST,,OAKLAND,94601,2424 E 11TH ST OAKLAND 94601,P.O. BOX 3999 BERKELEY CA 94703,2424 E 11TH ST,,OAKLAND,CA,94601
19-98-5-4,019 009800504,1900,2430,E 11TH ST,,OAKLAND,94601,2430 E 11TH ST OAKLAND 94601,2430 E 11TH ST OAKLAND CA 94601,2430 E 11TH ST,,OAKLAND,CA,94601
19-97-10-8,019 009701008,0,2530,E 11TH ST,,OAKLAND,94601,2530 E 11TH ST OAKLAND 94601,PO BOX 7509 OAKLAND CA 94601,2530 E 11TH ST,,OAKLAND,CA,94601
19-93-54,019 009305400,1997,1015,SANTA MARIA CT,,OAKLAND,94601,1015 SANTA MARIA CT OAKLAND 94601,1015 SANTA MARIA CT OAKLAND CA 94601,1015 SANTA MARIA CT,,OAKLAND,CA,94601
19-93-39,019 009303900,1997,1014,SANTA MARIA CT,,OAKLAND,94601,1014 SANTA MARIA CT OAKLAND 94601,1014 SANTA MARIA CT OAKLAND CA 94601,1014 SANTA MARIA CT,,OAKLAND,CA,94601
19-93-67,019 009306700,1997,1031,SANTA INES CT,,OAKLAND,94601,1031 SANTA INES CT OAKLAND 94601,1031 SANTA INES CT OAKLAND CA 94601,1031 SANTA INES CT,,OAKLAND,CA,94601
19-93-16-2,019 009301602,0,1101,29TH AVE,,OAKLAND,94601,1101 29TH AVE OAKLAND 94601,250 FRANK H OGAWA PLZ 4 OAKLAND CA 94612,1101 29TH AVE,,OAKLAND,CA,94601
19-93-56,019 009305600,1997,2826,E 10TH ST,,OAKLAND,94601,2826 E 10TH ST OAKLAND 94601,2826 E 10TH ST OAKLAND CA 94601,2826 E 10TH ST,,OAKLAND,CA,94601
19-93-27,019 009302700,1997,1087,SAN FRANCISCO CT,,OAKLAND,94601,1087 SAN FRANCISCO CT OAKLAND 94601,1087 SAN FRANCISCO CT OAKLAND CA 94601,1087 SAN FRANCISCO CT,,OAKLAND,CA,94601
19-93-70,019 009307000,1997,1001,SANTA INES CT,,OAKLAND,94601,1001 SANTA INES CT OAKLAND 94601,9227 SCHARN LN BELLFLOWER CA 90706,1001 SANTA INES CT,,OAKLAND,CA,94601
19-93-68,019 009306800,1997,1021,SANTA INES CT,,OAKLAND,94601,1021 SANTA INES CT OAKLAND 94601,1021 SANTA INES CT OAKLAND CA 94601,1021 SANTA INES CT,,OAKLAND,CA,94601
19-93-59,019 009305900,1997,1012,SANTA INES CT,,OAKLAND,94601,1012 SANTA INES CT OAKLAND 94601,1012 SANTA INES CT OAKLAND CA 94601,1012 SANTA INES CT,,OAKLAND,CA,94601
19-93-18,019 009301800,1997,1006,SAN FRANCISCO CT,,OAKLAND,94601,1006 SAN FRANCISCO CT OAKLAND 94601,1006 SAN FRANCISCO CT OAKLAND CA 94601,1006 SAN FRANCISCO CT,,OAKLAND,CA,94601
19-93-41,019 009304100,1997,1034,SANTA MARIA CT,,OAKLAND,94601,1034 SANTA MARIA CT OAKLAND 94601,1034 SANTA MARIA CT OAKLAND CA 94601,1034 SANTA MARIA CT,,OAKLAND,CA,94601
19-93-57,019 009305700,1997,2820,E 10TH ST,,OAKLAND,94601,2820 E 10TH ST OAKLAND 94601,2820 E 10TH ST OAKLAND CA 94601,2820 E 10TH ST,,OAKLAND,CA,94601
19-93-62,019 009306200,1997,1042,SANTA INES CT,,OAKLAND,94601,1042 SANTA INES CT OAKLAND 94601,1042 SANTA INES CT OAKLAND CA 94601,1042 SANTA INES CT,,OAKLAND,CA,94601
19-93-69,019 009306900,1997,1011,SANTA INES CT,,OAKLAND,94601,1011 SANTA INES CT OAKLAND 94601,1011 SANTA INES CT OAKLAND CA 94601,1011 SANTA INES CT,,OAKLAND,CA,94601
19-93-66,019 009306600,1997,1082,SANTA INES CT,,OAKLAND,94601,1082 SANTA INES CT OAKLAND 94601,1082 SANTA INES CT OAKLAND CA 94601,1082 SANTA INES CT,,OAKLAND,CA,94601
19-93-43,019 009304300,1997,1054,SANTA MARIA CT,,OAKLAND,94601,1054 SANTA MARIA CT OAKLAND 94601,1054 SANTA MARIA CT OAKLAND CA 94601,1054 SANTA MARIA CT,,OAKLAND,CA,94601
19-93-13,019 009301300,0,2744,E 11TH ST,,OAKLAND,94601,2744 E 11TH ST OAKLAND 94601,160 FRANKLIN ST 300 OAKLAND CA 94607,2744 E 11TH ST,,OAKLAND,CA,94601
19-93-37,019 009303700,1997,2830,E 10TH ST,,OAKLAND,94601,2830 E 10TH ST OAKLAND 94601,2830 E 10TH ST OAKLAND CA 94601,2830 E 10TH ST,,OAKLAND,CA,94601
19-93-63,019 009306300,1997,1052,SANTA INES CT,,OAKLAND,94601,1052 SANTA INES CT OAKLAND 94601,1052 SANTA INES CT OAKLAND CA 94601,1052 SANTA INES CT,,OAKLAND,CA,94601
19-93-46,019 009304600,1997,1084,SANTA MARIA CT,,OAKLAND,94601,1084 SANTA MARIA CT OAKLAND 94601,1084 SANTA MARIA CT OAKLAND CA 94601,1084 SANTA MARIA CT,,OAKLAND,CA,94601
19-93-47,019 009304700,1997,1085,SANTA MARIA CT,,OAKLAND,94601,1085 SANTA MARIA CT OAKLAND 94601,1085 SANTA MARIA CT OAKLAND CA 94601,1085 SANTA MARIA CT,,OAKLAND,CA,94601
19-93-23,019 009302300,1997,1056,SAN FRANCISCO CT,,OAKLAND,94601,1056 SAN FRANCISCO CT OAKLAND 94601,1056 SAN FRANCISCO CT OAKLAND CA 94601,1056 SAN FRANCISCO CT,,OAKLAND,CA,94601
19-93-48,019 009304800,1997,1075,SANTA MARIA CT,,OAKLAND,94601,1075 SANTA MARIA CT OAKLAND 94601,1075 SANTA MARIA CT OAKLAND CA 94601,1075 SANTA MARIA CT,,OAKLAND,CA,94601
19-93-45,019 009304500,1997,1074,SANTA MARIA CT,,OAKLAND,94601,1074 SANTA MARIA CT OAKLAND 94601,578 ISLAND PL REDWOOD CITY CA 94065,1074 SANTA MARIA CT,,OAKLAND,CA,94601
19-93-52,019 009305200,1997,1035,SANTA MARIA CT,,OAKLAND,94601,1035 SANTA MARIA CT OAKLAND 94601,1035 SANTA MARIA CT OAKLAND CA 94601,1035 SANTA MARIA CT,,OAKLAND,CA,94601
