,name,lic_no,details_url,lic_type,lic_status,lic_exp_date,lic_sec_status,city,state,county,zipcode,depth,download_timeout,download_slot,download_latency,address,lic_issue_date,parcel_no
0,"""A"" STREET AUTO REPAIR  (Previous Name)",276061,/details/1310/ARD/276061/58d0d2e12578a6568cc004a061a623c0,Automotive Repair Dealer,Valid,"April 30, 2020",,SANTA ROSA,California,SONOMA,95404,1,180.0,search.dca.ca.gov,0.1845078468322754,1008 SO. A ST. STE E,,ERROR
1,1 DAY PAINT & BODY CENTERS INC,197236,/details/1310/ARD/197236/9016c2a1f0a42b67be19cd62f56ba942,Automotive Repair Dealer,Cancelled,"November 30, 2013",,ORANGE,California,ORANGE,92867,1,180.0,search.dca.ca.gov,0.3869638442993164,788 NORTH BATAVIA,,No APN MATCH
2,1 DAY PAINT & BODY CENTERS,59609,/details/1310/ARD/59609/37e0eb8af5b3dc54c5b5dc46591cc78a,Automotive Repair Dealer,Cancelled,"August 31, 2014",,VAN NUYS,California,LOS ANGELES,91405,1,180.0,search.dca.ca.gov,0.5904219150543213,7607 VAN NUYS BLVD,,No APN MATCH
3,1 DAY PAINT & BODY CENTERS,11416,/details/1310/ARD/11416/8636128bc1b3308b4fb91d1184a0ac64,Automotive Repair Dealer,Cancelled,"March 31, 2014",,VAN NUYS,California,LOS ANGELES,91405,1,180.0,search.dca.ca.gov,0.7290477752685547,6859 VAN NUYS BLVD,,No APN MATCH
4,1 DAY PAINT & BODY CENTER,47027,/details/1310/ARD/47027/e9b9c071f0fb21ae98ca1b4d650ec201,Automotive Repair Dealer,Cancelled,"November 30, 2013",,GLENDALE,California,LOS ANGELES,91204,1,180.0,search.dca.ca.gov,0.7130959033966064,4515 SAN FERNANDO RD,,No APN MATCH
5,1 DAY PAINT & BODY CENTER,188195,/details/1310/ARD/188195/f00fa30954f45cef1112fcd09c20f48c,Automotive Repair Dealer,Cancelled,"March 31, 2014",,OXNARD,California,VENTURA,93030,1,180.0,search.dca.ca.gov,0.7160913944244385,1100 COMMERCIAL AVE,,No APN MATCH
6,02 MOTOR SPORTS,244987,/details/1310/ARD/244987/0b20f727c9a7f35835bdded1d571ed1d,Automotive Repair Dealer,Valid,"April 30, 2021",,REDDING,California,SHASTA,96003,1,180.0,search.dca.ca.gov,0.7121000289916992,1177 PRESTIGE WAY,,No APN MATCH
7,1 DAY PAINT & BODY CENTERS,99299,/details/1310/ARD/99299/715033b29ec6348cb47da64479152a3e,Automotive Repair Dealer,Cancelled,"December 31, 2013",,LAGUNA NIGUEL,California,ORANGE,92677,1,180.0,search.dca.ca.gov,0.3221385478973389,27592 CAMINO CAPISTRANO,,No APN MATCH
8,1 DAY PAINT & BODY CENTER,99301,/details/1310/ARD/99301/74e6c5f4e64f1d01c1e2751890279ccd,Automotive Repair Dealer,Cancelled,"December 31, 2013",,COVINA,California,LOS ANGELES,91724,1,180.0,search.dca.ca.gov,0.8407576084136963,645 NORTH GRAND AVE,,No APN MATCH
9,1 DAY PAINT & BODY CENTERS,32572,/details/1310/ARD/32572/03d1d30f3cb278314eba45c1e09685c2,Automotive Repair Dealer,Cancelled,"August 31, 2014",,DOWNEY,California,LOS ANGELES,90241,1,180.0,search.dca.ca.gov,0.9345011711120604,11205 PARAMOUNT BLVD,,No APN MATCH
