lng,lat,num,street,type,city,zip,address,APN,line_1,line_2,state,postal
-122.220341465325021,37.779664688415565,1638,35TH,AV,,94601,1638 35TH AV OAKLAND 94601,033 212901500,,,,
-122.220341465325021,37.779664688415565,1640,35TH,AV,,94601,1640 35TH AV OAKLAND 94601,033 212901500,,,,
-122.166158696817732,37.739277817553351,10500,14TH,ST,,94603,10500 E 14TH ST OAKLAND 94603,047 550904100,,,,
-122.166158696817732,37.739277817553351,10500,INTERNATIONAL,BL,,94603,10500 INTERNATIONAL BL OAKLAND 94603,047 550904100,,,,
-122.166041667895769,37.739334300044476,1428,105TH,AV,,94603,1428 105TH AV OAKLAND 94603,047 550904100,,,,
-122.165183249488379,37.739365355486228,10550,14TH,ST,,94603,10550 E 14TH ST OAKLAND 94603,047 551900502,,,,
-122.165183249488379,37.739365355486228,10550,INTERNATIONAL,BL,,94603,10550 INTERNATIONAL BL OAKLAND 94603,047 551900502,,,,
-122.164627767249286,37.739991336245218,1544,105TH,AV,,94603,1544 105TH AV OAKLAND 94603,047 550900400,,,,
-122.165298766545732,37.739678612212359,1500,105TH,AV,,94603,1500 105TH AV OAKLAND 94603,047 550900901,,,,
-122.16425483255739,37.740165383106273,1560,105TH,AV,,94603,1560 105TH AV OAKLAND 94603,047 550900101,,,,
-122.164478634335708,37.740060841661467,1548,105TH,AV,,94603,1548 105TH AV OAKLAND 94603,047 550900300,,,,
-122.164776899264552,37.739921834315602,1536,105TH,AV,,94603,1536 105TH AV OAKLAND 94603,047 550900500,,,,
-122.164926030381494,37.739852329479234,1528,105TH,AV,,94603,1528 105TH AV OAKLAND 94603,047 550900600,,,,
-122.165075162396775,37.739782826708769,1520,105TH,AV,,94603,1520 105TH AV OAKLAND 94603,047 550900700,,,,
-122.165671441624454,37.739504920111834,1424,105TH,AV,,94603,1424 105TH AV OAKLAND 94603,047 550901000,,,,
-122.221051393114251,37.771027280751099,3927,WATTLING,ST,,94601,3927 WATTLING ST OAKLAND 94601,033 217000300,,,,
-122.204254261842152,37.782048736575746,2558,HIGH,ST,,94601,2558 HIGH ST OAKLAND 94601,032 204301201,,,,
-122.20440945389231,37.78191633355916,2550,HIGH,ST,,94601,2550 HIGH ST OAKLAND 94601,032 204301100,,,,
-122.204184535508119,37.781825200205219,4312,GORDON,ST,,94601,4312 GORDON ST OAKLAND 94601,032 204301000,,,,
-122.204049826843061,37.781699192325739,4316,GORDON,ST,,94601,4316 GORDON ST OAKLAND 94601,032 204300900,,,,
-122.203573272381462,37.781702736566544,4343,BROOKDALE,AV,,94601,4343 BROOKDALE AV B OAKLAND 94601,032 204300602,,,,
-122.203573272381462,37.781702736566544,4343,BROOKDALE,AV,,94601,4343 BROOKDALE AV C OAKLAND 94601,032 204300602,,,,
-122.203573272381462,37.781702736566544,4343,BROOKDALE,AV,,94601,4343 BROOKDALE AV D OAKLAND 94601,032 204300602,,,,
-122.203573272381462,37.781702736566544,4343,BROOKDALE,AV,,94601,4343 BROOKDALE AV A OAKLAND 94601,032 204300602,,,,
-122.203573272381462,37.781702736566544,4343,BROOKDALE,AV,,94601,4343 BROOKDALE AV OAKLAND 94601,032 204300602,,,,
-122.183068864898686,37.737084445109844,9745,WALTER,AV,,94603,9745 WALTER AV OAKLAND 94603,044 500700200,,,,
-122.183242226273791,37.736912702692806,675,98TH,AV,,94603,675 98TH AV OAKLAND 94603,044 500700300,,,,
