,acct_no,dba,owner,sic_code,sic_desc,full_addr,st_no,st_name,even,zipcode,city,apn_sort,dist_parc_to_sales
0,62,AARON METALS COMPANY,"FORKASH, PAUL",5093001.0,Scrap And Waste Materials,"750 105TH AVE OAKLAND, CA 94603-3604",750,105TH AVE,True,94603,OAKLAND,045 526800300,0.0
1,71,WEST CONSTRUCTION,"West, James",,,"2044 85TH AVE OAKLAND, CA 94621-1723",2044,85TH AVE,True,94621,OAKLAND,043 456901600,0.63061481200778
2,81,FRIENDLY CAB COMPANY INC,"SINGH, BALJIT K",4121001.0,Taxicabs,"4849 E 12TH ST OAKLAND, CA 94601-5107",4849,E 12TH ST,False,94601,OAKLAND,034 225800700,0.0
3,82,A B C TRUCKING,"AUSTIN, PAUL G",1771001.0,Concrete Work,"4301 E 12TH ST OAKLAND, CA 94601-4415",4301,E 12TH ST,False,94601,OAKLAND,034 226401600,15.6760889678474
4,90,MCCLURE DOUGLAS C & SCOTT M O,"Mcclure, Douglas",6512001.0,Operators Of Nonresidential Buildings,"4445 JENSEN ST OAKLAND, CA 94601-3939",4445,JENSEN ST,False,94601,OAKLAND,034 229900101,0.0
5,95,A. M. IRON,"Magallanez, A.",3312001.0,"Steel Works, Blast Furnaces (including Coke Ovens), And Rolling Mills","1009 90TH AVE OAKLAND, CA 94603-1249",1009,90TH AVE,False,94603,OAKLAND,042 427901301,0.0
6,115,C RAYS PLAZA APTS,"Ray, Clifford M",6513001.0,Operators Of Apartment Buildings,"1640 104TH AVE OAKLAND, CA 94603-3282",1640,104TH AVE,True,94603,OAKLAND,047 550902900,2.36159415142823
7,127,AMERICAN BRASS & IRON FOUNDRY,"Callagy, John",3321001.0,Gray And Ductile Iron Foundries,"7825 SAN LEANDRO ST OAKLAND, CA 94621-2515",7825,SAN LEANDRO ST,False,94621,OAKLAND,041 420900102,0.0
8,158,SERVICE METAL PRODUCTS,"Eckert, Kevin",1761001.0,"Roofing, Siding, And Sheet Metal Work","9828 KITTY LN OAKLAND, CA 94603-1070",9828,KITTY LN,True,94603,OAKLAND,044 502000365,4.6962249727399
9,162,CURT & FRED SCHEBERIES,"SCHEBERIES, CURT",6513001.0,Operators Of Apartment Buildings,"410 PHELPS ST OAKLAND, CA 94603-1133",410,PHELPS ST,True,94603,OAKLAND,044 505002200,0.0
10,178,ACME FIRE EXTINGUISHER CO,A CALIFORNIA CORPORATION,5999001.0,"Miscellaneous Retail Stores, Not Elsewhere Classified","1305 FRUITVALE AVE OAKLAND, CA 94601-2927",1305,FRUITVALE AVE,False,94601,OAKLAND,025 068800301,14.6561961660185
11,265,GRANT & SMITH LLP,"SMITH, CHARLENE",8721001.0,"Accounting, Auditing, And Bookkeeping Services","333 HEGENBERGER RD STE 325 OAKLAND, CA 94621-1420",333,HEGENBERGER RD,False,94621,OAKLAND,042 442501502,0.33194406940661497
12,273,FOOTHILL LAUNDROMAT,"Wong, Henry",,,"3229 FOOTHILL BLVD OAKLAND, CA 94601-3112",3229,FOOTHILL BLVD,False,94601,OAKLAND,027 083701201,3.45858791911551
13,282,ACKLAND INTERNATIONAL INC,"Sowunmi, Ekundayo",8712001.0,Architectural Services,"333 HEGENBERGER RD STE 304 OAKLAND, CA 94621-1461",333,HEGENBERGER RD,False,94621,OAKLAND,042 442501502,0.33194406940661497
14,289,PORTER WARNER INDUSTRIES LLC,"Warner, Douglas (pres) G",,,"9015 G ST OAKLAND, CA 94621-1244",9015,G ST,False,94621,OAKLAND,042 428900800,5.8695136522613796
15,321,GUAN WILLIAM J & ANGELA ET AL,"GUAN, ALLAN",6513001.0,Operators Of Apartment Buildings,"3239 LYNDE ST OAKLAND, CA 94601-2730",3239,LYNDE ST,False,94601,OAKLAND,027 087200102,0.0
16,325,PROFESSIONAL BENEFIT PLANS INC,"JAKUBOWITZ, LARRY",8999001.0,"Services, Not Elsewhere Classified","7677 OAKPORT ST STE 300 OAKLAND, CA 94621-1933",7677,OAKPORT ST,False,94621,OAKLAND,041 390201601,0.0
17,346,WILKIN CHUNG,"Chung, Wilkin",6513001.0,Operators Of Apartment Buildings,"1453 35TH AVE OAKLAND, CA 94601-3544",1453,35TH AVE,False,94601,OAKLAND,033 212403701,14.0464939777465
18,363,CARPENTER FUNDS ADM OFF OF NO CAL,"Cal, Carpenter Adm Off Of No",,,"265 HEGENBERGER RD STE 100 OAKLAND, CA 94621-1480",265,HEGENBERGER RD,False,94621,OAKLAND,042 442501802,6.7471788189608395
19,364,ROSE BLACK,"Black, Rose",8999001.0,"Services, Not Elsewhere Classified","751 MOORPARK ST OAKLAND, CA 94603-3607",751,MOORPARK ST,False,94603,OAKLAND,045 525101601,0.0
