Date,Planning Number,Planning Type,Project Name,Address,Status,Short Notes
10/23/2019,DET190168,Letter of Determination,Determination of Legal Number of Units,"2449 GRANDE VISTA AVE, Oakland CA 94601",Complete,
9/30/2019,DET190157,Letter of Determination,Residential Hotel Determination - Statement of Exemption,"2315 International BLVD, OAKLAND CA",Under Review,
9/25/2019,DET190156,Letter of Determination,,"2372 INTERNATIONAL BLVD, Oakland CA 94601",Under Review,
7/15/2019,DET190099,Letter of Determination,Zoning DET,"2601 E 20th, OAKLAND CA",Complete,
6/14/2019,DET190071,Letter of Determination,Letter on City letterhead confirming application requirements,"5345 FOOTHILL BLVD, Oakland CA 94601",Complete,
5/31/2019,DET190063,Letter of Determination,,"2426 35TH AVE, Oakland CA 94601",Complete,
4/5/2019,DET190037,Letter of Determination,DET @ 4601 Malat Street,"4601 MALAT ST, Oakland CA 94601",Letter Complete,
4/1/2019,DET190035,Letter of Determination,DET @ 2353 E 12th Street,"2353 E 12TH ST, Oakland CA 94601",Filed,
3/15/2019,19TMP-001050,Letter of Determination,2353 E 12th St - Zoning Determination Letter,"2353 E 12TH ST, Oakland CA 94601",,
3/14/2019,19TMP-001036,Letter of Determination,2353 E 12th St - Zoning Determination Letter,"2353 E 12TH ST, Oakland CA 94601",,
3/14/2019,19TMP-001039,Letter of Determination,2353 E 12th St - Zoning Determination Letter,"2353 E 12TH ST, Oakland CA 94601",,
12/21/2018,DET180161,Letter of Determination,2554 E 16TH STREET,"2554 E 16TH ST, Oakland CA 94601",Filed,
12/21/2018,DET180166,Letter of Determination,DET @ 1701 36TH AVENUE,"1701 36TH AVE, Oakland CA 94601",Filed,
12/21/2018,DET180164,Letter of Determination,DET @ 1732 27TH AVENUE,"1732 27TH AVE, Oakland CA 94601",Filed,
12/21/2018,DET180165,Letter of Determination,DET @ 1454 36TH AVENUE,"1454 36TH AVE, Oakland CA 94601",Under Review,
12/21/2018,DET180159,Letter of Determination,DET @ 1616 35TH AVENUE,"1616 35TH AVE, Oakland CA 94601",Filed,
12/21/2018,DET180160,Letter of Determination,DET @ 1828 28TH AVENUE,"1828 28TH AVE, Oakland CA 94601",Filed,
12/21/2018,DET180163,Letter of Determination,DET @ 2028 HIGH STREET,"2028 HIGH ST, Oakland CA 94601",Under Review,
12/21/2018,DET180157,Letter of Determination,Zoning Determination Letter for affordable housing funding - SRO regulations and CEQA,"3539 LYON AVE, Oakland CA 94601",Under Review,
12/13/2018,DET180152,Letter of Determination,,"2127 34TH AVE, Oakland CA 94601",Complete,
12/11/2018,DET180149,Letter of Determination,DET @ 5200 Coliseum Way,"5200 COLISEUM WY, Oakland CA 94601",Complete,
11/2/2018,DET180139,Letter of Determination,Letter of Determination,"2601 E 20TH ST, Oakland CA 94601",Complete,
11/2/2018,DET180138,Letter of Determination,Confirmation Letter,"1900 26TH AVE, Oakland CA 94601",Complete,
9/18/2018,DET180109,Letter of Determination,DET @ 2221 FRUITVALE AVE,"2221 FRUITVALE AVE, Oakland CA 94601",Filed,
8/24/2018,DET180092,Letter of Determination,DET to determine vesting for joint living and working quarters located at 4701 San Leandro St.,"4701 SAN LEANDRO ST, Oakland CA 94601",Complete,
6/14/2018,DET180074,Letter of Determination,Burn Down Letter,"5449 RUTH AVE, Oakland CA 94601",Filed,
4/27/2018,DET180048,Letter of Determination,Burn Down Letter,"1615 HIGH ST, Oakland CA 94601",Filed,
3/21/2018,DET180025,Letter of Determination,DET to legalize third unit at 1507/1507 1/2 48th Ave.,"1507 48TH AVE, Oakland CA 94601",Complete,
1/8/2018,DET180005,Letter of Determination,Determination Letter,"2409 FOOTHILL BLVD, Oakland CA 94601",Withdrawn,
1/2/2018,DET180001,Letter of Determination,DET @ 401 DERBY AVE,"401 DERBY AVE, OAKLAND CA 94601",Complete,
12/12/2017,DET170128,Letter of Determination,,"1729 36TH AVE, Oakland CA 94601",Complete,
10/18/2017,DET170112,Letter of Determination,Permitted and Continued Uses at Site,"2744 E 11TH ST, Oakland CA 94601",Complete,
10/10/2017,DET170106,Letter of Determination,Standard Zoning Letter,"2321 International BLVD, OAKLAND CA 94601",Complete,
9/22/2017,DET170102,Letter of Determination,DET at 1627 High Street,"1627 HIGH ST, Oakland CA 94601",Complete,
8/28/2017,DET170088,Letter of Determination,DET for number of units on property,"2561 FRUITVALE AVE, Oakland CA 94601",Complete,
8/22/2017,DET170087,Letter of Determination,Zoning Summary for NOFA purposes,"0 35TH AVE, Oakland CA 94601",Complete,
8/4/2017,DET170080,Letter of Determination,DET for Number of Units,"2337 38th AVE, OAKLAND CA",Complete,
6/19/2017,DET170070,Letter of Determination,DET at 3600 Alameda Ave,"3600 ALAMEDA AVE, Oakland CA 94601",Under Review,
4/25/2017,DET170041,Letter of Determination,Mi Pueblo Shopping Center,"1620 HIGH ST, Oakland CA 94601",Complete,
4/20/2017,DET170034,Letter of Determination,Burn down letter,"2624 FOOTHILL BLVD, Oakland CA 94601",Complete,
4/20/2017,DET170037,Letter of Determination,Burn Down for 2555-2567 Foothill Blvd,"2567 foothill, OAKLAND CA",Complete,
4/20/2017,DET170035,Letter of Determination,Burn down letter,"1757 26TH AVE, Oakland CA 94601",Complete,
4/20/2017,DET170036,Letter of Determination,Burn Down Letter at 2344 E 17th st,"2344 E 17TH ST, Oakland CA 94601",Complete,
3/30/2017,DET170025,Letter of Determination,Determination Letter,"4675 TIDEWATER AVE, Oakland CA 94601",Complete,
3/10/2017,DET170017,Letter of Determination,determine units,"2321 38TH AVE, Oakland CA 94601",Complete,
2/7/2017,DET170006,Letter of Determination,DET for 1942 47th Avenue,"1942 47TH AVE, Oakland CA 94601",Complete,
12/14/2016,DET160152,Letter of Determination,Letter of Determination - 2221 Fruitvale Ave,"2221 FRUITVALE AVE, Oakland CA 94601",Accepted,
10/27/2016,DET160140,Letter of Determination,Letter of Determination - 3401 E. 12th St.,"3401 E 12TH ST, Oakland CA 94601",Complete,
10/27/2016,DET160139,Letter of Determination,Letter of Determination - APN: 033 219502500,"0 34TH AVE, Oakland CA 94601",Complete,
8/19/2016,DET160102,Letter of Determination,Zoning Determination,"2555 INTERNATIONAL BLVD, Oakland CA 94601",Accepted,
8/9/2016,DET160095,Letter of Determination,Letter of Determination - 2783 E 12th St,"2783 E 12TH ST, Oakland CA 94601",Complete,
8/8/2016,DET160091,Letter of Determination,Letter of Determination - 1730 50th ave,"1730 50TH AVE, Oakland CA 94601",Complete,
6/9/2016,DET160068,Letter of Determination,DET @ 1419 34TH AVE (zoning verification letter),"1419 34TH AVE, Oakland CA 94601",Complete,
6/1/2016,DET160065,Letter of Determination,Zoning Determination Letter,"0 36TH AVE, Oakland CA 94601",Complete,
5/4/2016,DET160055,Letter of Determination,DET @ 301-401 HIGH ST (Z VERIFICATION LTR),"401 HIGH ST, OAKLAND CA",Under Review,
4/28/2016,DET160051,Letter of Determination,Letter of Determination,"5200 COLISEUM WY, Oakland CA 94601",Complete,
4/6/2016,DET160043,Letter of Determination,DET @ 5200 Coliseum Wy (zoning letter/no research),"5200 COLISEUM WY, Oakland CA 94601",Filed,
3/24/2016,DET160040,Letter of Determination,Lucasey Lofts Determination,"2744 E 11TH ST, Oakland CA 94601",Filed,
